number,status,play number,score,year,topic
474,20,521.1w,,2012,1
475,25,422.8w,7.2,2012,1
476,33,3.2y,6.8,2012,1
477,35,472.3w,8.5,2012,1
478,33,3460.3w,,2012,1
479,35,4144.2w,,2012,1
480,35,3.7y,,2012,1
481,34,1.6y,7.4,2012,1
482,31,1251.0w,7.4,2012,1
483,34,3373.0w,7.2,2012,1
484,35,1.1y,,2012,1
485,29,970.2w,,2012,1
486,34,2.0y,,2012,1
487,40,4298.5w,7.4,2012,1
488,6,106.3w,8.6,2012,1
489,65,9222.1w,6.4,2012,1
490,31,9555.2w,,2012,1
491,30,2436.8w,7.6,2012,1
492,6,184.4w,7.1,2012,1
493,32,4472.3w,,2012,1
494,30,7628.4w,7.2,2012,1
495,,624.4w,7.1,2012,1
496,32,2151.8w,7.4,2011,1
497,30,54.7w,8.2,2011,1
498,37,2430.8w,8.8,2011,1
499,33,1081.1w,7.4,2011,1
500,29,541.0w,,2011,1
501,29,237.5w,,2011,1
502,21,2917.5w,7.3,2011,1
503,30,1.1y,,2011,1
504,28,187.1w,7.2,2011,1
505,21,53.7w,7.2,2011,1
506,36,1139.7w,8.6,2011,1
507,37,1004.2w,8,2011,1
508,33,2587.8w,7,2011,1
509,24,2631.8w,7.4,2011,1
510,32,3718.7w,8.1,2011,1
511,20,253.4w,,2011,1
512,28,1677.3w,,2011,1
513,28,152.0w,7.2,2011,1
514,40,1439.0w,,2011,1
515,40,1188.4w,,2011,1
516,20,1240.0w,7.4,2011,1
517,27,904.2w,7.3,2011,1
518,25,1121.0w,,2011,1
519,30,3869.1w,7.8,2011,1
520,37,3974.2w,8.4,2011,1
521,35,946.3w,,2011,1
522,30,1234.7w,7.3,2011,1
523,28,1521.7w,7.3,2011,1
524,25,4999.0w,7.6,2011,1
525,16,456.6w,,2011,1
526,14,6.3y,7.8,2021,2
527,32,40.5y,7.7,2021,2
528,28,53.0y,9,2021,2
529,36,24.3y,9.3,2021,2
530,45,50.3y,7.7,2021,2
531,40,56.0y,7.5,2021,2
532,49,32.9y,7.7,2021,2
533,32,7.4y,7.6,2021,2
534,,221.2w,7.2,2021,2
535,43,76.0y,8.9,2020,2
536,43,25.1y,7.6,2020,2
537,51,55.5y,8.4,2020,2
538,53,80.5y,8.1,2020,2
539,30,12.6y,7.6,2020,2
540,56,84.6y,7.9,2020,2
541,18,27.4y,9,2020,2
542,34,15.7y,7.6,2020,2
543,36,19.5y,8.9,2020,2
544,48,31.1y,7.6,2020,2
545,32,6.4y,7.6,2020,2
546,31,10.3y,7.6,2020,2
547,34,10.7y,7.6,2020,2
548,24,4.9y,7.5,2020,2
549,35,10.3y,7.5,2020,2
550,24,3.4y,7.5,2020,2
551,40,2.0y,7.5,2020,2
552,,1.3y,8.9,2020,2
553,36,3186.5w,7.4,2020,2
554,6,389.2w,7.4,2020,2
555,,1042.7w,7.3,2020,2
556,,6393.8w,7.3,2020,2
557,24,5023.8w,7.3,2020,2
558,36,127.8w,7.3,2020,2
559,,3258.0w,7.2,2020,2
560,,1028.0w,7.2,2020,2
561,,73.5w,7.1,2020,2
562,,40.0w,7.1,2020,2
563,,178.0w,7.1,2020,2
564,,1150.8w,7.3,2020,2
565,,3323.8w,7.3,2020,2
566,,1257.1w,7.3,2020,2
567,,1699.7w,7.3,2020,2
568,,294.6w,7.2,2020,2
569,,332.8w,7.1,2020,2
570,,71.1w,7.1,2020,2
571,,38.8w,7,2020,2
572,,2.7w,6.8,2020,2
573,50,99.2y,9.1,2019,2
574,40,40.2y,8.6,2019,2
575,50,70.9y,7.8,2019,2
576,21,38.9y,8.5,2019,2
577,24,31.3y,8.9,2019,2
578,40,41.4y,7.7,2019,2
579,46,16.5y,8.6,2019,2
580,40,14.7y,7.5,2019,2
581,24,11.6y,8.1,2019,2
582,56,24.3y,7.1,2019,2
583,32,20.1y,8,2019,2
584,28,14.6y,8.3,2019,2
585,36,20.9y,8,2019,2
586,30,13.7y,8.3,2019,2
587,24,7.2y,7.4,2019,2
588,41,15.6y,7.2,2019,2
589,32,6.8y,8.4,2019,2
590,24,6.0y,8,2019,2
591,5,7.0y,9.3,2019,2
592,24,3.0y,7.5,2019,2
593,39,1.7y,8.5,2019,2
594,26,6.0y,7.5,2019,2
595,24,3.7y,8,2019,2
596,23,1.6y,7.5,2019,2
597,24,2.1y,7.5,2019,2
598,30,5.7y,8.6,2019,2
599,24,6.7y,7.4,2019,2
600,5,9677.9w,9.5,2019,2
601,24,5.7y,8.1,2019,2
602,24,2.0y,8,2019,2
603,28,1.4y,7.4,2019,2
604,40,2.1y,7.9,2019,2
605,31,4.4y,7.8,2019,2
606,18,1.7y,8.4,2019,2
607,16,1.1y,7.4,2019,2
608,15,6033.1w,7.4,2019,2
609,30,1.3y,8.5,2019,2
610,38,1.5y,6.9,2019,2
611,24,2.0y,7.4,2019,2
612,24,2.6y,7.4,2019,2
613,22,1.1y,7.7,2019,2
614,10,4955.5w,7.9,2019,2
615,28,5367.3w,8.4,2019,2
616,20,1.0y,7.7,2019,2
617,12,2118.9w,,2019,2
618,24,1815.2w,7.3,2019,2
619,,449.7w,7.2,2019,2
620,36,3013.9w,7.1,2019,2
621,26,2508.6w,7.1,2019,2
622,,87.1w,7.1,2019,2
623,,1593.8w,7.1,2019,2
624,,2434.4w,7.2,2019,2
625,,348.0w,7.2,2019,2
626,,134.5w,7.2,2019,2
627,,168.6w,9.3,2019,2
628,,105.9w,7,2019,2
629,,189.5w,7.1,2019,2
630,,29.8w,6.8,2019,2
631,66,153.4y,7.2,2018,2
632,52,68.2y,8.2,2018,2
633,30,18.9y,7.9,2018,2
634,36,24.9y,7.8,2018,2
635,42,64.0y,7.2,2018,2
636,25,32.6y,8.4,2018,2
637,40,11.1y,8.1,2018,2
638,50,31.8y,8,2018,2
639,30,16.8y,8.5,2018,2
